Municipal_Status,town_code,town_hebrew,town_english,town_eshkol_19,town_eshkol17,STAT19,Pop2019,SocioIndex19,SocioRank19,Eshkol19,Eshkol17,Eshkol08,population,index_value,rank,District,SocioRank17,Difference1917
0,7900,פתח תקווה,PETAH TIQWA,7,7,127,2291.91458316189,0.532459562558906,1001,7,7,7,2152.3784104613151,0.5671498636210517,984,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,143,2805.98550303258,0.57787106886802,1021,7,7,7,2839.6724405801529,0.6231759674317311,1021,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,324,3115.1443758668,0.590649201960306,1026,7,7,7,3096.8319479525326,0.7251710952210764,1072,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,424,4276.57338661527,0.591151356631103,1027,7,7,7,4359.4710287908956,0.6459431906610088,1034,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,233,3087.71265090249,0.611024635173156,1040,7,7,7,3106.7385398948027,0.736426901149301,1076,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,133,2184.58710470637,0.626612791740896,1046,7,7,7,2225.9483280912109,0.7815989027275138,1100,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,224,3114.1201314358,0.661170608291393,1059,7,7,7,3252.5070827566901,0.8430497686361365,1133,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,514,767.810536736283,0.729330954961208,1103,7,7,7,791.57215887435768,0.5738729643675506,990,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,411,1531.10131891542,0.814375062534311,1135,7,7,7,1551.0330183931821,0.9594721759260744,1191,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,222,3352.00554452808,0.94710118829082,1197,7,8,7,2535.1842224073971,0.9376815056962873,1180,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,422,2846.2070807552,0.947443220838436,1199,7,7,8,2734.446228228906,1.0137445257764848,1221,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,113,6282.62921759585,0.953473101365531,1205,7,8,8,6148.9038001852023,1.105928823191651,1266,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,223,3689.34299159356,1.14487474293605,1295,8,8,8,3440.5200342098456,1.1972820591585265,1310,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,516,1269.26440389687,1.203609668987,1317,8,8,8,1144.7774920432132,1.298905641764441,1354,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,115,14892.8378550755,1.22702957635606,1324,8,8,8,11449.274449124321,1.238616577769056,1329,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,122,5005.64747446829,1.28710358262833,1355,8,9,8,5021.3673557882848,1.3294439100443685,1370,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,128,880.770252405552,1.28974812048178,1358,8,8,8,214.14592710799059,1.3898529298120919,1393,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,221,3099.14353992367,1.29206405744591,1360,8,9,8,3146.5926911638408,1.2546062639240685,1334,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,111,1913.67103254996,1.31726891611251,1377,8,9,8,1514.7429936392705,1.3615132441123243,1383,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,121,9037.77894144146,1.47118832735377,1444,9,9,8,7406.6435098802058,1.5100811915853853,1447,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,123,3599.82644928622,1.49975874306718,1447,9,9,8,3705.2469400974533,1.4513963952795481,1419,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,212,7715.74346518487,1.5177303510074,1454,9,9,8,5904.5262192570108,1.466275970002749,1428,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,211,6845.4394437658,1.54509215059738,1464,9,9,9,6782.7029743101966,1.6585902037655011,1496,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,129,10474.7035261916,1.58013153612648,1474,9,9,9,9196.7980865129739,1.6405248676235906,1487,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,213,1334.405191484,1.59944356087122,1484,9,9,9,1319.058661149232,1.8674674336959267,1547,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,214,6128.04707029829,1.63650659655269,1498,9,9,9,5531.7041581359681,1.659362757951914,1497,NA,NA,NA
0,7900,פתח תקווה,PETAH TIQWA,7,7,131,5263.54578772809,1.8022622737577,1549,9,9,9,4679.5595824693664,1.8983874752309835,1553,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,6,6129.84425294055,-2.65292397702359,10,1,1,1,5239.0041510365381,-2.3306886190407647,11,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,7,4816.85410283019,-1.59757990603484,125,2,2,2,4701.3695167662408,-1.4413875467966706,125,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,5,4089.73316096518,-1.57167046073155,130,2,2,2,3803.9777046849686,-1.4994185502708113,110,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,4,4118.80583895411,-1.56232816618503,132,2,2,2,3694.308681117212,-1.2376302995556683,170,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,2,5436.82400049017,-1.38219116755988,167,2,2,2,5203.2615956258851,-1.382270898602494,141,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,3,581.210305735494,-1.08427546213239,225,2,1,2,655.30113353609045,-1.2513799620003097,169,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,11,482.858315581914,-0.358413379043571,449,5,4,4,462.6515337867495,-0.22085409534989117,497,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,1,4054.13954679707,-0.265205460328295,508,5,4,5,3616.9697474882532,-0.1645243939029449,523,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,8,4651.03687224597,-0.208634026881637,549,5,4,5,4475.7069525638117,-0.1207737173184425,548,NA,NA,NA
0,8000,צפת,ZEFAT,2,2,10,1695.16705325657,0.23927008416613,827,6,6,6,1477.515197334556,0.30564280088170503,825,NA,NA,NA
99,195,קדימה-צורן,QADIMA-ZORAN,8,8,5,3011.34915383446,0.466645758251249,966,7,6,6,2814.0394623114366,0.48939948441314457,944,NA,NA,NA
99,195,קדימה-צורן,QADIMA-ZORAN,8,8,4,5964.8306481654,1.0280937575433,1244,8,8,8,5923.8113277887851,1.0512658199386733,1239,NA,NA,NA
